International Perspectives on Psychotherapy	Stefan G. Hofmann	Behavioral Science and Psychology	https://link.springer.com/openurl?genre=book&isbn=978-3-319-56194-3
Electrical Machines	Slobodan N. Vukosavic	Energy	https://link.springer.com/openurl?genre=book&isbn=978-1-4614-0400-2
Mechanics and Thermodynamics	Wolfgang Demtröder	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-27877-3
Applied Behavior Analysis	Kimberly Maich, Darren Levine, Carmen Hall	Behavioral Science and Psychology	https://link.springer.com/openurl?genre=book&isbn=978-3-319-44794-0
Reading, Writing, and Proving	Ulrich Daepp, Pamela Gorkin	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4419-9479-0
Linear and Nonlinear Programming	David G. Luenberger, Yinyu Ye	Business and Management	https://link.springer.com/openurl?genre=book&isbn=978-3-319-18842-3
Introduction to Partial Differential Equations	David Borthwick	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-3-319-48936-0
Energy Storage	Robert Huggins	Energy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-21239-5
Metabolism of Human Diseases	Eckhard Lammert, Martin Zeeb	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-3-7091-0715-7
Sensory Evaluation of Food	Harry T. Lawless, Hildegarde Heymann	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-1-4419-6488-5
Fundamentals of Robotic Mechanical Systems	Jorge Angeles	Engineering	https://link.springer.com/openurl?genre=book&isbn=978-3-319-01851-5
Integrative Human Biochemistry	Andrea T. da Poian, Miguel A. R. B. Castanho	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-1-4939-3058-6
Philosophy of Science for Scientists	Lars-Göran Johansson	Religion and Philosophy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-26551-3
Particles and Nuclei	Bogdan Povh, Klaus Rith, Christoph Scholz, Frank Zetsche, Werner Rodejohann	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-662-46321-5
Data Structures and Algorithms with Python	Kent D. Lee, Steve Hubbard	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-3-319-13072-9
LGBT-Parent Families	Abbie E. Goldberg, Katherine R. Allen	Humanities, Social Sciences and Law	https://link.springer.com/openurl?genre=book&isbn=978-1-4614-4556-2
Integrated Neuroscience	Elliott M. Marcus, Stanley Jacobson	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-1-4615-1077-2
Introduction to Partial Differential Equations	Peter J. Olver	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-3-319-02099-0
Microeconomics	Peter Dorman	Business and Economics	https://link.springer.com/openurl?genre=book&isbn=978-3-642-37434-0
System Dynamics	Bilash Kanti Bala, Fatimah Mohamed Arshad, Kusairi Mohd Noh	Economics and Finance	https://link.springer.com/openurl?genre=book&isbn=978-981-10-2045-2
Cosmology for the Curious	Delia Perlov, Alex Vilenkin	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-57040-2
Methods of Mathematical Modelling	Thomas Witelski, Mark Bowen	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-3-319-23042-9
Introduction to Logic Circuits & Logic Design with Verilog	Brock J. LaMeres	Engineering	https://link.springer.com/openurl?genre=book&isbn=978-3-319-53883-9
Structural Analysis	O. A. Bauchau, J.I. Craig	Engineering	https://link.springer.com/openurl?genre=book&isbn=978-90-481-2516-6
Engineering Flow and Heat Exchange	Octave Levenspiel	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-1-4899-7454-9
Enterprise Risk Management Models	David L. Olson, Desheng Dash Wu	Business and Management	https://link.springer.com/openurl?genre=book&isbn=978-3-662-53785-5
Reactive Power Control in AC Power Systems	Naser Mahdavi Tabatabaei, Ali Jafari Aghbolaghi, Nicu Bizon, Frede Blaabjerg	Energy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-51118-4
Principles of Microeconomics	Martin Kolmar	Economics and Finance	https://link.springer.com/openurl?genre=book&isbn=978-3-319-57589-6
Additive Manufacturing Technologies	Ian Gibson, David W. Rosen, Brent Stucker	Engineering	https://link.springer.com/openurl?genre=book&isbn=978-1-4419-1120-9
Principles of Physics	Hafez  A . Radi, John O Rasmussen	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-642-23026-4
Fundamentals of Biomechanics	Nihat Özkaya, Dawn Leger, David Goldsheyder, Margareta Nordin	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-3-319-44738-4
Irrigation and Drainage Engineering	Peter Waller, Muluneh Yitayew	Earth and Environmental Science	https://link.springer.com/openurl?genre=book&isbn=978-3-319-05699-9
LaTeX in 24 Hours	Dilip Datta	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-3-319-47831-9
Psychology of Perception	Simon Grondin	Behavioral Science and Psychology	https://link.springer.com/openurl?genre=book&isbn=978-3-319-31791-5
Extragalactic Astronomy and Cosmology	Peter Schneider	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-642-54083-7
Automata and Computability	Dexter C. Kozen	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-1-4612-1844-9
The Algorithm Design Manual	Steven S Skiena	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-1-84800-070-4
Chemical Thermodynamics	Ernö Keszei	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-3-642-19864-9
Computational Physics	Philipp O.J. Scherer	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-61088-7
Introduction to Statistics and Data Analysis 	Christian Heumann, Michael Schomaker,  Shalabh	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-3-319-46162-5
Grammar for Teachers	Andrea DeCapua	Education	https://link.springer.com/openurl?genre=book&isbn=978-3-319-33916-0
Time Series Econometrics	Klaus Neusser	Economics and Finance	https://link.springer.com/openurl?genre=book&isbn=978-3-319-32862-1
Electrochemistry	Christine Lefrou, Pierre Fabry, Jean-Claude Poignet	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-3-642-30250-3
Classical Fourier Analysis	Loukas Grafakos	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4939-1194-3
Human Chromosomes	Orlando J. Miller, Eeva Therman	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-1-4613-0139-4
Phylogenomics	Christoph Bleidorn	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-3-319-54064-1
Quantum Theory for Mathematicians	Brian C. Hall	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4614-7116-5
Evidence-Based Critical Care	Robert C. Hyzy	Medicine	https://link.springer.com/openurl?genre=book&isbn=978-3-319-43341-7
Clinical Assessment of Child and Adolescent Personality and Behavior	Paul J. Frick, Christopher T. Barry, Randy W. Kamphaus	Behavioral Science	https://link.springer.com/openurl?genre=book&isbn=978-1-4419-0641-0
Design Research in Information Systems	Alan Hevner, Samir Chatterjee	Business and Economics	https://link.springer.com/openurl?genre=book&isbn=978-1-4419-5653-8
Intermediate Physics for Medicine and Biology	Russell K. Hobbie, Bradley J. Roth	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-12682-1
Principles of Data Mining	Max Bramer	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-1-4471-7307-6
Fundamental Astronomy	Hannu Karttunen, Pekka Kröger, Heikki Oja, Markku Poutanen, Karl Johan Donner	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-662-53045-0
Fundamentals of Business Process Management	Marlon Dumas, Marcello La Rosa, Jan Mendling, Hajo A. Reijers	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-3-642-33143-5
Brownian Motion, Martingales, and Stochastic Calculus 	Jean-François Le Gall	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-3-319-31089-3
UML @ Classroom	Martina Seidl, Marion Scholz, Christian Huemer, Gerti Kappel	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-3-319-12742-2
Design and Analysis of Experiments	Angela Dean, Daniel Voss, Danel Draguljić	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-3-319-52250-0
Foundations for Designing User-Centered Systems	Frank E. Ritter, Gordon D. Baxter, Elizabeth F. Churchill	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-1-4471-5134-0
Handbook of Consumer Finance Research	Jing Jian Xiao	Behavioral Science and Psychology	https://link.springer.com/openurl?genre=book&isbn=978-3-319-28887-1
Principles of Terrestrial Ecosystem Ecology	F Stuart Chapin III, Pamela A. Matson, Peter Vitousek	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-1-4419-9504-9
Applied Multivariate Statistical Analysis	Wolfgang Karl Härdle, Léopold Simar	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-3-662-45171-7
Strategic International Management	Dirk Morschett, Hanna Schramm-Klein, Joachim Zentes	Business and Economics	https://link.springer.com/openurl?genre=book&isbn=978-3-8349-6331-4
Computer Vision	Richard Szeliski	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-1-84882-935-0
Engineering Electromagnetics	Nathan Ida	Engineering	https://link.springer.com/openurl?genre=book&isbn=978-3-319-07806-9
Data Mining	Charu C. Aggarwal	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-3-319-14142-8
International Trade Theory and Policy	Giancarlo Gandolfo	Business and Economics	https://link.springer.com/openurl?genre=book&isbn=978-3-642-37314-5
Alternative Energy Sources	Efstathios E (Stathis) Michaelides	Engineering	https://link.springer.com/openurl?genre=book&isbn=978-3-642-20951-2
Introduction to Electronic Commerce and Social Commerce	Efraim Turban, Judy Whiteside, David King, Jon Outland	Business and Management	https://link.springer.com/openurl?genre=book&isbn=978-3-319-50091-1
Computational Geometry	Mark de Berg, Otfried Cheong, Marc van Kreveld, Mark Overmars	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-3-540-77974-2
Elementary Mechanics Using Python	Anders Malthe-Sørenssen	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-19596-4
Energy Economics	Peter Zweifel, Aaron Praktiknjo, Georg Erdmann	Energy	https://link.springer.com/openurl?genre=book&isbn=978-3-662-53022-1
Biomedical Informatics	Edward H. Shortliffe, James J. Cimino	Medicine	https://link.springer.com/openurl?genre=book&isbn=978-1-4471-4474-8
Robotics, Vision and Control	Peter Corke	Engineering	https://link.springer.com/openurl?genre=book&isbn=978-3-319-54413-7
Acid-Base Diagrams	Heike Kahlert, Fritz Scholz	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-3-642-37902-4
Brewing Science: A Multidisciplinary Approach	Michael Mosher, Kenneth Trantham	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-3-319-46394-0
Learning Landscape Ecology	Sarah E. Gergel, Monica G. Turner	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-1-4939-6374-4
Probability	Jim Pitman	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4612-4374-8
Modeling Life	Alan Garfinkel, Jane Shevtsov, Yina Guo	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-3-319-59731-7
Introduction to Plasma Physics and Controlled Fusion	Francis Chen	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-22309-4
Engineering Mechanics 1	Dietmar Gross, Werner Hauger, Jörg Schröder, Wolfgang A. Wall, Nimal Rajapakse	Engineering	https://link.springer.com/openurl?genre=book&isbn=978-3-642-30319-7
Principles of Polymer Chemistry	A. Ravve	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-1-4614-2212-9
A Primer on Scientific Programming with Python	Hans Petter Langtangen	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-3-662-49887-3
Climate Change Science: A Modern Synthesis	G. Thomas Farmer, John Cook	Earth and Environmental Science	https://link.springer.com/openurl?genre=book&isbn=978-94-007-5757-8
Solar PV and Wind Energy Conversion Systems	S. Sumathi, L. Ashok Kumar, P. Surekha	Energy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-14941-7
Statistical Analysis and Data Display	Richard M. Heiberger, Burt Holland	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4939-2122-5
Business Process Management Cases	Jan vom Brocke, Jan Mendling	Business and Management	https://link.springer.com/openurl?genre=book&isbn=978-3-319-58307-5
Elementary Analysis	Kenneth A. Ross	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4614-6271-2
Cryptography Made Simple	Nigel Smart	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-3-319-21936-3
Fluid Dynamics	Michel Rieutord	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-09351-2
Social Media Management	Amy Van Looy	Business and Management	https://link.springer.com/openurl?genre=book&isbn=978-3-319-21990-5
Statistics in Criminal Justice	David Weisburd, Chester Britt	Humanities, Social Sciences and Law	https://link.springer.com/openurl?genre=book&isbn=978-1-4614-9170-5
Supply Chain Management and Advanced Planning	Hartmut Stadtler, Christoph Kilger, Herbert Meyr	Business and Economics	https://link.springer.com/openurl?genre=book&isbn=978-3-642-55309-7
Probability Theory	Alexandr A. Borovkov	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4471-5201-9
Statistics and Data Analysis for Financial Engineering	David Ruppert, David S. Matteson	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4939-2614-5
Readings in Formal Epistemology	Horacio Arló-Costa, Vincent F. Hendricks, Johan van Benthem	Religion and Philosophy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-20451-2
Differential Equations and Their Applications	Martin Braun	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4612-4360-1
Nanotechnology: Principles and Practices	Sulabha K. Kulkarni	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-3-319-09171-6
Epidemiological Research: Terms and Concepts	O. S. Miettinen	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-94-007-1171-6
Multinational Management	Rien Segers	Business and Management	https://link.springer.com/openurl?genre=book&isbn=978-3-319-23012-2
Partial Differential Equations	Jürgen Jost	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4614-4809-9
Bayesian and Frequentist Regression Methods	Jon Wakefield	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4419-0925-1
Strategic International Management	Dirk Morschett, Hanna Schramm-Klein, Joachim Zentes	Business and Economics	https://link.springer.com/openurl?genre=book&isbn=978-3-658-07884-3
Basic Concepts in Computational Physics	Benjamin A. Stickler, Ewald Schachinger	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-27265-8
Eye Tracking Methodology	Andrew T. Duchowski	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-3-319-57883-5
Writing for Publication	Mary Renck Jalongo, Olivia N. Saracho	Education	https://link.springer.com/openurl?genre=book&isbn=978-3-319-31650-5
Mathematical Physics	Sadri Hassani	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-01195-0
Correctional Counseling and Treatment	Peter C. Kratcoski	Law and Criminology	https://link.springer.com/openurl?genre=book&isbn=978-3-319-54349-9
Thermodynamics and Energy Conversion	Henning Struchtrup	Engineering	https://link.springer.com/openurl?genre=book&isbn=978-3-662-43715-5
The Action Research Planner	Stephen Kemmis, Robin McTaggart, Rhonda Nixon	Humanities, Social Sciences and Law	https://link.springer.com/openurl?genre=book&isbn=978-981-4560-67-2
Stochastic Processes and Calculus	Uwe Hassler	Economics and Finance	https://link.springer.com/openurl?genre=book&isbn=978-3-319-23428-1
Statistical Analysis of Clinical Data on a Pocket Calculator	Ton J. Cleophas, Aeilko H. Zwinderman	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-94-007-1211-9
Clinical Data Analysis on a Pocket Calculator	Ton J. Cleophas, Aeilko H. Zwinderman	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-3-319-27104-0
The Data Science Design Manual	Steven S. Skiena	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-3-319-55444-0
An Introduction to Machine Learning	Miroslav Kubat	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-3-319-63913-0
Guide to Discrete Mathematics	Gerard O'Regan	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-3-319-44561-8
Petroleum Geoscience	Knut Bjørlykke	Earth and Environmental Science	https://link.springer.com/openurl?genre=book&isbn=978-3-642-34132-8
Structure Determination by X-ray Crystallography	Mark Ladd, Rex Palmer	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-1-4614-3954-7
Introduction to Time Series and Forecasting	Peter J. Brockwell, Richard A. Davis	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-3-319-29854-2
Principles of Mobile Communication	Gordon L. Stüber	Engineering	https://link.springer.com/openurl?genre=book&isbn=978-3-319-55615-4
Cardiovascular Biomechanics	Peter R. Hoskins, Patricia V. Lawford, Barry J. Doyle	Medicine	https://link.springer.com/openurl?genre=book&isbn=978-3-319-46407-7
Introduction to Smooth Manifolds	John Lee	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4419-9982-5
Taxation in European Union	Pietro Boria	Law and Criminology	https://link.springer.com/openurl?genre=book&isbn=978-3-319-53919-5
Essentials of Cerebellum and Cerebellar Disorders	Donna L. Gruol, Noriyuki Koibuchi, Mario Manto, Marco Molinari, Jeremy D. Schmahmann, Ying Shen	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-3-319-24551-5
Language Across the Curriculum & CLIL in English as an Additional Language (EAL) Contexts	Angel M.Y. Lin	Education	https://link.springer.com/openurl?genre=book&isbn=978-981-10-1802-2
Multivariate Calculus and Geometry	Seán Dineen	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4471-6419-7
Statistics and Analysis of Scientific Data	Massimiliano Bonamente	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-1-4939-6572-4
Modelling Computing Systems	Faron Moller, Georg Struth	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-1-84800-322-4
Search Methodologies	Edmund K. Burke, Graham Kendall	Business and Economics	https://link.springer.com/openurl?genre=book&isbn=978-1-4614-6940-7
Representation Theory	William Fulton, Joe Harris	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4612-0979-9
Linear Algebra Done Right	Sheldon Axler	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-3-319-11080-6
Stellar Structure and Evolution	Rudolf Kippenhahn, Alfred Weigert, Achim Weiss	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-642-30304-3
Evolutionary Thinking in Medicine	Alexandra Alvergne, Crispin Jenkinson, Charlotte Faurie	Medicine	https://link.springer.com/openurl?genre=book&isbn=978-3-319-29716-3
Understanding Cryptography	Christof Paar, Jan Pelzl	Computer Science	https://link.springer.com/openurl?genre=book&isbn=978-3-642-04101-3
Linear Algebra	Jörg Liesen, Volker Mehrmann	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-3-319-24346-7
Algebra	Serge Lang	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4613-0041-0
Understanding Analysis	Stephen Abbott	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4939-2712-8
Plate Tectonics	Wolfgang Frisch, Martin Meschede, Ronald C. Blakey	Earth and Environmental Science	https://link.springer.com/openurl?genre=book&isbn=978-3-540-76504-2
Linear Programming	Robert J Vanderbei	Business and Economics	https://link.springer.com/openurl?genre=book&isbn=978-1-4614-7630-6
The Nature of Scientific Knowledge	Kevin McCain	Religion and Philosophy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-33405-9
Leadership Today	Joan Marques, Satinder Dhiman	Business and Management	https://link.springer.com/openurl?genre=book&isbn=978-3-319-31036-7
Physics of Semiconductor Devices	Massimo Rudan	Engineering	https://link.springer.com/openurl?genre=book&isbn=978-1-4939-1151-6
Corporate Social Responsibility	John O. Okpara, Samuel O. Idowu	Business and Economics	https://link.springer.com/openurl?genre=book&isbn=978-3-642-40975-2
Ordinary Differential Equations	William A. Adkins, Mark G. Davidson	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4614-3618-8
Electronic Commerce	Efraim Turban, David King, Jae Kyu Lee, Ting-Peng Liang, Deborrah C. Turban	Business and Economics	https://link.springer.com/openurl?genre=book&isbn=978-3-319-10091-3
Ceramic Materials	C. Barry Carter, M. Grant Norton	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-1-4614-3523-5
Foundations of Analytical Chemistry	Miguel Valcárcel Cases, Ángela I. López-Lorente, Ma Ángeles López-Jiménez	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-3-319-62872-1
Life Cycle Assessment	Michael Z. Hauschild, Ralph K. Rosenbaum, Stig Irving Olsen	Engineering	https://link.springer.com/openurl?genre=book&isbn=978-3-319-56475-3
A Clinical Guide to the Treatment of the Human Stress Response	George S. Everly, Jr., Jeffrey M. Lating	Behavioral Science	https://link.springer.com/openurl?genre=book&isbn=978-1-4614-5538-7
Computational Physics	Philipp Scherer	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-319-00401-3
Handbook of LGBT Elders	Debra A. Harley, Pamela B. Teaster	Social Sciences	https://link.springer.com/openurl?genre=book&isbn=978-3-319-03623-6
Handbook of Cardiac Anatomy, Physiology, and Devices	Paul A. Iaizzo	Biomedical and Life Sciences	https://link.springer.com/openurl?genre=book&isbn=978-3-319-19464-6
Quantum Mechanics	Daniel Bes	Physics and Astronomy	https://link.springer.com/openurl?genre=book&isbn=978-3-642-20556-9
Understanding Statistics Using R	Randall Schumacker, Sara Tomek	Mathematics and Statistics	https://link.springer.com/openurl?genre=book&isbn=978-1-4614-6227-9
Mass Spectrometry	Jürgen H Gross	Chemistry and Materials Science	https://link.springer.com/openurl?genre=book&isbn=978-3-319-54398-7
